name,creator,release_date,in_$/M,out_$/M,blend_3to1_$/M,intelligence,coding,math,gpqa_%,hle_%,mmlu_pro_%,ifbench_%,lcr_%,tau2_%,livecodebench_%,terminalbench_hard_%,scicode_%,math_500_%,aime_%,aime_25_%,speed_tps,ttft_s,ttfa_s,slug
"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",Anthropic,2026-06-09,10,50,20,64.9,62,—,92.6,53.3,—,63.469,70,98.538,—,62.879,60.2,—,—,—,63.209,63.948,63.948,claude-fable-5
"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",Anthropic,2026-05-28,5,25,10,61.4,56.7,—,92,45.7,—,62.245,67.667,94.444,—,58.333,53.5,—,—,—,57.384,17.658,17.658,claude-opus-4-8
GPT-5.5 (xhigh),OpenAI,2026-04-23,5,30,11.25,60.2,59.1,—,93.5,44.3,—,75.85,74.333,93.86,—,60.606,56.1,—,—,—,59.162,44.887,44.887,gpt-5-5
GPT-5.5 (high),OpenAI,2026-04-23,5,30,11.25,58.9,58.5,—,93.2,43,—,71.633,73.333,92.982,—,59.848,55.9,—,—,—,54.169,13.818,13.818,gpt-5-5-high
"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",Anthropic,2026-04-16,5,25,10,57.3,52.5,—,91.4,39.6,—,58.639,70.333,88.596,—,51.515,54.5,—,—,—,45.762,10.719,10.719,claude-opus-4-7
Gemini 3.1 Pro Preview,Google,2026-02-19,2,12,4.5,57.2,55.5,—,94.1,44.7,—,77.143,72.667,95.614,—,53.788,58.9,—,—,—,130.22,24.249,24.249,gemini-3-1-pro-preview
GPT-5.4 (xhigh),OpenAI,2026-03-05,2.5,15,5.625,56.8,57.2,—,92,41.6,—,73.946,74,87.135,—,57.576,56.6,—,—,—,92.441,134.239,134.239,gpt-5-4
GPT-5.5 (medium),OpenAI,2026-04-23,5,30,11.25,56.7,56.2,—,92.6,40.6,—,70.952,72.333,91.813,—,57.576,53.5,—,—,—,55.076,6.352,6.352,gpt-5-5-medium
Qwen3.7 Max,Alibaba,2026-05-19,2.5,7.5,3.75,56.6,50.1,—,92.3,38.1,—,80.544,69,94.737,—,50.758,48.8,—,—,—,169.099,1.578,15.824,qwen3-7-max
Gemini 3.5 Flash (high),Google,2026-05-19,1.5,9,3.375,55.3,45,—,92.2,41,—,76.327,69.333,95.322,—,40.909,53.1,—,—,—,219.845,13.66,13.66,gemini-3-5-flash
Gemini 3.5 Flash (medium),Google,2026-05-19,1.5,9,3.375,54.8,43.9,—,92.1,39.9,—,74.558,71,95.614,—,39.394,53,—,—,—,209.009,11.466,11.466,gemini-3-5-flash-medium
MiniMax-M3,MiniMax,2026-06-01,0.3,1.2,0.525,54.7,43.4,—,92.9,37.1,—,82.857,74,88.889,—,42.424,45.4,—,—,—,47.907,2.382,44.13,minimax-m3
Kimi K2.6,Kimi,2026-04-20,0.95,4,1.712,53.9,47.1,—,91.1,35.9,—,75.986,69.667,95.906,—,43.939,53.5,—,—,—,40.467,1.367,111.358,kimi-k2-6
