name,creator,release_date,in_$/M,out_$/M,blend_3to1_$/M,intelligence,coding,math,gpqa_%,hle_%,mmlu_pro_%,ifbench_%,lcr_%,tau2_%,tau_banking_%,livecodebench_%,terminalbench_hard_%,terminalbench_v2_1_%,scicode_%,math_500_%,aime_%,aime_25_%,speed_tps,ttft_s,ttfa_s,slug
"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",Anthropic,2026-06-09,10,50,20,59.9,76.5,—,92.6,53.3,—,63.469,70,98.538,26.804,—,62.879,84.644,60.2,—,—,—,0,0,0,claude-fable-5
"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",Anthropic,2026-05-28,5,25,10,55.7,74.3,—,92,45.7,—,62.245,67.667,94.444,27.629,—,58.333,84.644,53.5,—,—,—,67.561,32.898,32.898,claude-opus-4-8
GPT-5.5 (xhigh),OpenAI,2026-04-23,5,30,11.25,54.8,74.9,—,93.5,44.3,—,75.85,74.333,93.86,31.34,—,60.606,84.27,56.1,—,—,—,64.672,45.009,45.009,gpt-5-5
"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",Anthropic,2026-04-16,5,25,10,53.5,73.6,—,91.4,39.6,—,58.639,70.333,88.596,28.866,—,51.515,83.146,54.5,—,—,—,57.875,37.26,37.26,claude-opus-4-7
GPT-5.5 (high),OpenAI,2026-04-23,5,30,11.25,53.1,71.6,—,93.2,43,—,71.633,73.333,92.982,29.485,—,59.848,79.401,55.9,—,—,—,64.082,17.831,17.831,gpt-5-5-high
GPT-5.4 (xhigh),OpenAI,2026-03-05,2.5,15,5.625,51.4,71.1,—,92,41.6,—,73.946,74,87.135,30.309,—,57.576,78.277,56.6,—,—,—,157.327,112.861,112.861,gpt-5-4
GLM-5.2 (max),Z AI,2026-06-16,1.4,4.4,2.15,51.1,68.8,—,89.5,40.1,—,73.333,71.333,99.123,26.804,—,50.758,77.903,50.5,—,—,—,94.441,1.615,22.792,glm-5-2
Gemini 3.5 Flash (high),Google,2026-05-19,1.5,9,3.375,50.2,70.1,—,92.2,41,—,76.327,69.333,95.322,25.361,—,40.909,78.652,53.1,—,—,—,218.757,19.159,19.159,gemini-3-5-flash
"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,2026-02-17,3,15,6,47.2,63,—,87.5,30,—,56.599,70.667,75.731,30.515,—,53.03,71.161,46.8,—,—,—,68.257,107.251,107.251,claude-sonnet-4-6-adaptive
Gemini 3.1 Pro Preview,Google,2026-02-19,2,12,4.5,46.5,68.8,—,94.1,44.7,—,77.143,72.667,95.614,16.495,—,53.788,73.783,58.9,—,—,—,136.81,32.693,32.693,gemini-3-1-pro-preview
Qwen3.7 Max,Alibaba,2026-05-19,2.5,7.5,3.75,46,66,—,92.3,38.1,—,80.544,69,94.737,10.928,—,50.758,74.532,48.8,—,—,—,103.886,1.67,24.859,qwen3-7-max
MiniMax-M3,MiniMax,2026-06-01,0.3,1.2,0.525,44.4,58.6,—,92.9,37.1,—,82.857,74,88.889,12.99,—,42.424,65.169,45.4,—,—,—,64.403,1.908,32.963,minimax-m3
