name,creator,release_date,in_$/M,out_$/M,blend_3to1_$/M,intelligence,coding,agentic,omniscience,gpqa_%,hle_%,critpt_%,non_halluc_%,ifbench_%,lcr_%,tau2_%,tau_banking_%,gdpval_%,terminalbench_hard_%,terminalbench_v2_1_%,scicode_%,mmmu_pro_%,speed_tps,ttft_s,ttfa_s,slug
Claude Fable 5 (with fallback),Anthropic,2026-06-09,10,50,20.0,62.07,76.5,56.6,43.3,92.6,55.5,28.6,36.4,63.5,76.7,98.5,38.1,61.9,62.9,84.6,60.2,—,71.02,93.78,93.78,claude-fable-5
GPT-5.6 Sol (max),OpenAI,2026-07-09,5,30,11.25,60.93,77.4,57.8,22.0,94.1,49.5,32.3,7.8,72.7,77.7,85.1,44.3,61.1,65.9,88.0,56.1,83.4,71.78,96.27,96.27,gpt-5-6-sol
Kimi K3 (max),Kimi,2026-07-16,2.66,13.3,5.32,59.7,76.2,54.3,19.7,93.5,46.9,23.4,46.8,—,82.7,—,46.0,58.9,—,85.0,58.7,80.5,18.44,3.15,111.61,kimi-k3
Claude Opus 4.8 (max),Anthropic,2026-05-28,5,25,10.0,57.33,74.3,49.4,28.8,92.0,48.7,20.9,60.8,62.2,73.0,94.4,34.2,54.2,58.3,84.6,53.5,—,60.52,10.62,10.62,claude-opus-4-8
GPT-5.6 Terra (max),OpenAI,2026-07-09,2.75,16.5,6.19,56.58,76.7,50.2,0.1,92.5,42.9,30.0,12.1,71.2,79.7,86.3,40.2,53.8,57.6,88.0,53.9,80.7,151.77,116.29,116.29,gpt-5-6-terra
Grok 4.5 (high),SpaceXAI,2026-07-08,2,6,3.0,55.76,72.4,48.9,25.3,93.1,42.7,15.4,45.9,—,74.0,—,42.1,51.2,—,81.7,54.0,80.4,65.34,5.85,5.85,grok-4-5
Claude Sonnet 5 (max),Anthropic,2026-06-30,2,10,4.0,55.26,71.5,49.7,16.4,91.1,41.3,16.9,60.6,—,77.0,—,37.3,54.8,—,80.5,53.6,77.3,88.5,138.1,138.1,claude-sonnet-5
DeepSeek V4 Pro 0813 (max),DeepSeek,2026-08-13,1.32,3.96,1.98,53.2,68.8,49.6,0.8,92.8,41.0,18.0,5.2,76.0,75.3,96.0,39.6,54.5,46.0,78.7,49.2,—,64.78,2.8,33.68,deepseek-v4-pro
Muse Spark 1.1 (xhigh),Meta,2026-07-09,1.25,4.25,2.0,53.2,71.3,39.7,28.1,89.8,46.2,15.1,50.0,—,81.3,—,31.8,43.7,—,77.9,58.2,—,260.45,1.58,9.26,muse-spark-1-1
GLM-5.2 (max) (FP8),Z AI,2026-06-16,1.302,4.092,2.0,52.64,68.8,45.7,4.4,89.5,41.1,20.9,73.7,73.3,76.7,99.1,34.6,50.3,50.8,77.9,50.5,—,98.49,2.03,22.33,glm-5-2
GPT-5.6 Luna (max),OpenAI,2026-07-09,1.1,6.6,2.48,52.32,71.4,46.9,-10.3,91.1,39.5,20.6,7.4,—,78.3,—,31.1,53.9,—,80.9,52.5,78.5,230.93,104.61,104.61,gpt-5-6-luna
DeepSeek V4 Flash 0731 (max),DeepSeek,2026-07-31,0.09,0.195,0.12,51.77,69.1,48.4,-14.3,90.8,38.5,16.6,8.3,79.0,74.3,95.0,39.4,52.9,36.0,78.7,49.9,—,273.9,0.71,8.01,deepseek-v4-flash
Gemini 3.6 Flash AI Studio,Google,2026-07-21,0.75,3.75,1.5,51.58,69.2,40.5,22.1,92.8,40.8,10.6,44.4,—,79.0,—,29.9,46.1,—,77.5,52.7,83.2,228.29,15.93,15.93,gemini-3-6-flash
Gemini 3.1 Pro Preview (Vertex),Google,2026-02-19,2,12,4.5,47.74,68.8,23,31.9,94.1,47.0,17.7,49.1,77.1,79.0,95.6,21.4,23.2,53.8,73.8,58.9,82.4,125.77,32.63,32.63,gemini-3-1-pro-preview
Qwen3.7 Max,Alibaba,2026-05-19,2.5,7.5,3.75,46.71,66,30.9,13.5,92.3,40.5,13.4,74.4,80.5,74.7,94.7,11.8,38.5,50.8,74.5,48.8,—,215.91,2.25,13.41,qwen3-7-max
MiniMax-M3,MiniMax,2026-06-01,0.24,0.96,0.42,45.4,58.6,36.1,1.4,92.9,39.0,3.7,81.6,82.9,80.3,88.9,15.3,44.4,42.4,65.2,45.4,78.5,99.08,2.04,22.23,minimax-m3
MiMo-V2.5-Pro,Xiaomi,2026-04-22,0.435,0.87,0.54,42.88,60.2,29.5,3.2,86.6,35.7,4.0,75.3,79.9,77.7,94.2,9.9,38.3,43.2,65.2,50.2,—,54.79,4.76,41.27,mimo-v2-5-pro
Qwen3.7 Plus,Alibaba,2026-06-01,0.4,1.6,0.7,39.37,55.9,20.7,1.1,90.0,35.6,9.1,72.3,78.0,69.0,93.0,17.5,22.2,47.0,61.0,45.5,80.5,56.39,2.05,37.52,qwen3-7-plus
MiMo-V2.5,Xiaomi,2026-04-22,0.14,0.28,0.18,38.04,56.8,24.4,-9.8,85.0,27.2,3.7,68.1,67.1,68.3,90.6,8.7,32.5,41.7,63.7,43.1,75.4,64.34,4.01,35.09,mimo-v2-5-0424
Claude Opus 5 (max),Anthropic,2026-07-24,5,25,10.0,63.05,78,59.2,37.1,93.2,54.9,29.1,39.2,—,75.7,—,42.1,67.2,—,89.1,55.7,84.7,55.62,31.41,31.41,claude-opus-5
Claude Opus 5 (xhigh),Anthropic,2026-07-24,5,25,10.0,62.52,77,58.4,35.4,93.7,54.4,27.7,40.5,—,76.3,—,43.3,65.7,—,88.0,55.0,84.0,55.45,33.49,33.49,claude-opus-5-xhigh
Claude Opus 5 (high),Anthropic,2026-07-24,5,25,10.0,61.48,76.5,56.1,33.7,93.7,52.8,28.3,38.8,—,76.3,—,44.7,61.6,—,87.6,54.3,82.4,57.99,14.88,14.88,claude-opus-5-high
Grok 4.6 (high),SpaceXAI,2026-08-12,2,6,3.0,60.92,76.8,58.7,30.5,95.0,42.9,17.1,65.7,—,75.0,—,50.7,62.4,—,88.4,53.6,—,69.42,39.72,39.72,grok-4-6
Grok 4.6 (xhigh),SpaceXAI,2026-08-12,2,6,3.0,60.01,—,—,29.3,93.5,44.1,19.7,76.0,—,75.7,—,43.3,63.3,—,88.0,51.6,—,62.35,39.05,39.05,grok-4-6-xhigh
GLM-5.3 (max),Z AI,2026-08-18,1.4,4.4,2.15,59.51,74.8,59.1,14.3,91.7,42.3,19.1,70.5,—,76.3,—,50.3,63.5,—,83.9,56.5,—,102.09,4.35,23.94,glm-5-3
Grok 4.6 (medium),SpaceXAI,2026-08-12,2,6,3.0,59.01,—,—,28,93.5,42.1,17.7,76.0,—,72.7,—,44.3,62.1,—,84.3,54.6,—,72.74,27.09,27.09,grok-4-6-medium
GPT-5.6 Sol (xhigh),OpenAI,2026-07-09,5,30,11.25,59.01,78.3,53.6,21.0,93.1,47.3,28.6,8.1,71.0,76.3,84.8,38.1,59.0,61.4,89.5,56.0,82.7,74.1,25.27,25.27,gpt-5-6-sol-xhigh
Claude Opus 5 (medium),Anthropic,2026-07-24,5,25,10.0,58.64,74.3,50.4,31.0,91.9,51.3,26.9,39.3,—,78.7,—,38.6,56.0,—,86.1,50.7,81.6,56.73,4.63,4.63,claude-opus-5-medium
Qwen3.8 Max,Alibaba,2026-08-03,2,6,3.0,58.08,71.8,58.4,3.4,92.7,43.0,20.0,58.2,—,74.3,—,51.3,61.8,—,81.3,52.9,82.3,47.8,2.56,44.4,qwen3-8-max
Qwen3.8 2.4T A95B,Alibaba,2026-08-12,2,6,3.0,57.7,71.9,57.1,4.3,93.5,42.5,20.0,60.8,—,75.3,—,49.1,61.0,—,82.0,51.6,—,45.09,2.54,46.89,qwen3-8-2-4t-a95b
GPT-5.6 Sol (high),OpenAI,2026-07-09,5,30,11.25,57.33,77.2,50.6,20.4,92.8,46.0,25.7,8.8,69.2,75.3,83.3,36.7,56.1,62.1,87.3,56.9,81.8,73.51,8.91,8.91,gpt-5-6-sol-high
Muse Spark 1.2 (xhigh),Meta,2026-08-05,1.25,4.25,2.0,56.76,72.2,49.3,27.2,90.4,45.5,17.7,66.7,—,83.3,—,34.9,56.4,—,80.2,56.4,—,—,—,—,muse-spark-1-2
GPT-5.5 (xhigh),OpenAI,2026-04-23,5,30,11.25,56.31,74.9,47.4,20.5,93.5,45.8,27.1,11.0,75.8,79.0,93.9,39.0,49.5,60.6,84.3,56.1,79.9,81.05,65.6,65.6,gpt-5-5
Gemini 3.7 Flash (high) AI Studio,Google,2026-08-13,0.75,3.75,1.5,56.03,76.1,45.1,26.5,94.5,47.9,14.3,35.5,—,80.0,—,32.8,51.6,—,85.8,56.8,85.5,373.29,13.15,13.15,gemini-3-7-flash
GPT-5.6 Sol (medium),OpenAI,2026-07-09,5,30,11.25,55.57,76.3,47.9,19.4,92.6,42.2,22.9,9.2,69.6,74.3,81.0,36.5,52.5,62.9,86.1,56.5,81.4,73.28,3.22,3.22,gpt-5-6-sol-medium
Claude Opus 4.7 (max),Anthropic,2026-04-16,5,25,10.0,54.96,73.6,46.3,27.3,91.4,42.3,12.0,57.7,58.6,75.3,88.6,34.6,49.5,51.5,83.2,54.5,78.8,51.58,15.32,15.32,claude-opus-4-7
GPT-5.5 (high),OpenAI,2026-04-23,5,30,11.25,54.67,71.6,45.9,18.8,93.2,45.0,25.4,10.9,71.6,79.0,93.0,36.7,48.3,59.9,79.4,55.9,81.1,83.93,14.64,14.64,gpt-5-5-high
Gemini 3.7 Flash (medium) AI Studio,Google,2026-08-13,0.75,3.75,1.5,53.42,71.5,45.1,23.7,92.1,39.0,9.4,34.1,—,81.0,—,35.5,49.9,—,78.3,57.9,84.7,341.25,5.32,5.32,gemini-3-7-flash-medium
GPT-5.4 (xhigh),OpenAI,2026-03-05,2.5,15,5.62,53.12,71.1,44.2,5.8,92.0,43.7,23.4,8.3,74.0,77.7,87.1,39.6,44.7,57.6,78.3,56.6,78.4,93.86,154.68,154.68,gpt-5-4
GPT-5.6 Terra (xhigh),OpenAI,2026-07-09,2,12,4.5,52.77,70.6,46.5,-3.0,90.8,41.9,27.1,11.0,66.3,75.0,80.4,29.7,53.6,62.9,80.2,51.6,79.5,106.91,8.98,8.98,gpt-5-6-terra-xhigh
Claude Opus 5 (low),Anthropic,2026-07-24,5,25,10.0,52.46,66.9,42.1,28.6,88.9,43.4,23.1,37.8,—,77.0,—,30.3,47.9,—,76.4,48.0,79.8,55.85,3.54,3.54,claude-opus-5-low
Qwen3.8 27B (xhigh),Alibaba,2026-08-14,0.5,3,1.12,52.02,68.1,50.9,-10.0,90.5,33.9,5.4,69.7,—,77.3,—,48.0,52.3,—,79.8,44.7,76.3,55.66,2.97,38.91,qwen3-8-27b
Gemini 3.5 Flash AI Studio,Google,2026-05-19,1.5,9,3.38,51.96,70.1,39.7,21.2,92.2,42.7,13.1,37.8,76.3,81.0,95.3,32.2,42.2,40.9,78.7,53.1,84.3,224.04,22.83,22.83,gemini-3-5-flash
Grok 4.6 (low),SpaceXAI,2026-08-12,2,6,3.0,51.68,—,—,25.9,87.9,27.6,5.7,69.3,—,78.7,—,38.1,52.7,—,75.3,48.4,—,70.37,8.77,8.77,grok-4-6-low
GPT-5.5 (medium),OpenAI,2026-04-23,5,30,11.25,51.42,71.5,39.2,18.1,92.6,42.4,18.6,10.4,71.0,76.7,91.8,29.9,43.8,57.6,80.5,53.5,81.2,79.28,5.49,5.49,gpt-5-5-medium
Gemini 3.7 Flash (low) AI Studio,Google,2026-08-13,0.75,3.75,1.5,50.94,71,41.6,22.1,90.1,35.1,5.7,32.3,—,78.3,—,29.5,47.6,—,79.8,53.6,84.9,315.6,0.93,0.93,gemini-3-7-flash-low
GPT-5.6 Sol (low),OpenAI,2026-07-09,5,30,11.25,50.73,69.7,41.6,18.9,89.8,39.4,14.9,10.6,66.5,73.0,76.0,29.1,47.1,60.6,76.8,55.4,81.0,71.04,2.73,2.73,gpt-5-6-sol-low
GPT-5.6 Terra (high),OpenAI,2026-07-09,2,12,4.5,50.11,67.1,43.5,-3.5,89.6,38.5,22.9,10.2,64.4,73.3,78.4,28.7,50.6,57.6,75.7,50.1,79.1,109.86,2.26,2.26,gpt-5-6-terra-high
GPT-5.6 Luna (xhigh),OpenAI,2026-07-09,0.2,1.2,0.45,50.06,68.6,44.4,-10.8,89.5,37.0,20.6,7.5,—,73.3,—,28.7,51.3,—,77.9,50.0,78.5,150.44,40.77,40.77,gpt-5-6-luna-xhigh
Kimi K3 (low),Kimi,2026-07-16,3,15,6.0,48.25,72,39.6,3.9,84.2,25.0,3.1,22.9,—,77.0,—,41.6,38.5,—,82.4,51.2,78.5,35.98,3.17,58.75,kimi-k3-low
Motif 3,Motif Technologies,2026-08-12,—,—,—,47.4,63.5,37.6,—,—,—,6.6,71.6,—,—,—,—,38.7,—,—,—,—,—,—,—,motif-3
GPT-5.6 Luna (high),OpenAI,2026-07-09,0.2,1.2,0.45,46.96,63.3,41,-12,89.2,33.4,16.6,7.6,—,74.0,—,25.1,48.3,—,69.7,50.7,77.6,134.17,7.04,7.04,gpt-5-6-luna-high
GPT-5.6 Terra (medium),OpenAI,2026-07-09,2,12,4.5,46.76,64.7,39.1,-5.1,87.2,33.3,17.4,10.2,62.2,70.3,72.8,25.6,45.2,—,72.3,49.6,76.8,106.73,1.67,1.67,gpt-5-6-terra-medium
Gemini 3.5 Flash (medium),Google,2026-05-19,1.5,9,3.38,46.67,—,—,20.8,92.1,41.3,10.9,38.2,74.6,79.7,95.6,—,—,39.4,—,53.0,83.9,217.28,17.63,17.63,gemini-3-5-flash-medium
DeepSeek V4 Pro (max),DeepSeek,2026-04-24,0.435,0.87,0.54,45.27,59.4,37.8,-10.7,88.8,37.5,12.9,5.9,76.5,70.0,96.2,30.1,40.3,46.2,64.0,50.0,—,80.3,1.76,56.25,deepseek-v4-pro-0424
Kimi K2.6,Kimi,2026-04-20,0.95,4,1.71,45.14,61.8,31.2,5.3,91.1,37.5,8.0,59.5,76.0,76.7,95.9,23.3,34.6,43.9,65.9,53.5,79.4,50.93,2.81,90.21,kimi-k2-6
